D5PH9LN3
['Sep 16, 2022 @ 06:25:48.544', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:47.175', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:46.442', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:45.130', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 16, 2022 @ 06:25:44.963', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:17.510', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:17.503', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:17.406', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:17.399', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:16.577', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:16.471', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:15.696', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:15.593', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:14.820', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:14.714', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:08.944', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:08.938', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:08.826', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:08.769', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:07.828', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:07.683', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:06.960', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:06.802', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:06.020', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:33:05.835', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:04.016', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:03.897', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:02.695', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:02.593', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:01.813', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:01.707', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:00.924', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:12:00.783', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:54.911', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:54.804', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:54.010', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:53.904', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:53.119', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:53.013', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:52.219', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:52.087', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:07.296', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:07.191', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
